Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulde_x,LShoulde_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y
0.1558224,0.543695797,0.171279619,0.623749166,0.11331505,0.623749166,0.051486176,0.703802535,0.078536308,0.759839893,0.233108492,0.623749166,0.29880167,0.703802535,0.244701406,0.76784523,0.136500877,0.799866578,0.070807699,0.823882588,0.074672004,0.983989326,0.190601141,0.799866578,0.221515578,0.815877252,0.217651274,0.983989326,0.144229486,0.53569046,0.171279619,0.527685123,0.128772268,0.551701134,0.194465446,0.543695797
0.1558224,0.543695797,0.171279619,0.623749166,0.109450745,0.623749166,0.043757567,0.703802535,0.078536308,0.759839893,0.233108492,0.623749166,0.29880167,0.703802535,0.24856571,0.775850567,0.132636573,0.799866578,0.070807699,0.823882588,0.078536308,0.991994663,0.194465446,0.807871914,0.221515578,0.815877252,0.213786969,0.983989326,0.148093791,0.53569046,0.171279619,0.527685123,0.128772268,0.551701134,0.194465446,0.543695797
0.1558224,0.543695797,0.171279619,0.623749166,0.109450745,0.623749166,0.039893262,0.703802535,0.078536308,0.759839893,0.233108492,0.623749166,0.302665975,0.703802535,0.24856571,0.775850567,0.136500877,0.799866578,0.070807699,0.823882588,0.082400613,0.983989326,0.194465446,0.807871914,0.221515578,0.815877252,0.213786969,0.983989326,0.144229486,0.53569046,0.167415314,0.527685123,0.128772268,0.551701134,0.190601141,0.543695797
0.151958096,0.543695797,0.167415314,0.623749166,0.10558644,0.623749166,0.036028958,0.711807872,0.078536308,0.759839893,0.229244187,0.623749166,0.302665975,0.703802535,0.244701406,0.775850567,0.136500877,0.791861241,0.070807699,0.823882588,0.090129222,0.991994663,0.198329751,0.799866578,0.225379883,0.815877252,0.209922664,0.983989326,0.140365182,0.53569046,0.163551009,0.527685123,0.124907963,0.551701134,0.190601141,0.543695797
0.148093791,0.551701134,0.167415314,0.623749166,0.10558644,0.623749166,0.032164653,0.703802535,0.074672004,0.76784523,0.229244187,0.623749166,0.302665975,0.703802535,0.244701406,0.783855904,0.136500877,0.799866578,0.066943394,0.823882588,0.093993527,0.991994663,0.202194055,0.799866578,0.221515578,0.831887925,0.209922664,0.983989326,0.136500877,0.543695797,0.159686705,0.53569046,0.124907963,0.559706471,0.186736837,0.551701134
0.151958096,0.559706471,0.163551009,0.623749166,0.101722136,0.631754503,0.028300348,0.711807872,0.070807699,0.76784523,0.225379883,0.615743829,0.302665975,0.703802535,0.240837101,0.783855904,0.136500877,0.791861241,0.066943394,0.823882588,0.093993527,0.991994663,0.198329751,0.799866578,0.221515578,0.823882588,0.209922664,0.983989326,0.140365182,0.543695797,0.163551009,0.543695797,0.121043659,0.559706471,0.186736837,0.551701134
0.148093791,0.559706471,0.163551009,0.623749166,0.097857831,0.631754503,0.024436044,0.703802535,0.066943394,0.76784523,0.229244187,0.623749166,0.302665975,0.703802535,0.24856571,0.783855904,0.136500877,0.791861241,0.070807699,0.823882588,0.093993527,0.991994663,0.198329751,0.791861241,0.225379883,0.823882588,0.209922664,0.983989326,0.136500877,0.551701134,0.159686705,0.543695797,0.121043659,0.567711808,0.186736837,0.551701134
0.148093791,0.567711808,0.159686705,0.631754503,0.097857831,0.631754503,0.020571739,0.711807872,0.066943394,0.76784523,0.225379883,0.615743829,0.29880167,0.703802535,0.24856571,0.783855904,0.136500877,0.799866578,0.066943394,0.823882588,0.093993527,0.991994663,0.202194055,0.799866578,0.225379883,0.823882588,0.209922664,0.991994663,0.136500877,0.551701134,0.159686705,0.551701134,0.117179354,0.567711808,0.182872532,0.559706471
0.144229486,0.567711808,0.159686705,0.631754503,0.093993527,0.639759839,0.020571739,0.711807872,0.066943394,0.76784523,0.225379883,0.623749166,0.29880167,0.703802535,0.252430015,0.783855904,0.132636573,0.791861241,0.070807699,0.823882588,0.093993527,0.991994663,0.209922664,0.799866578,0.221515578,0.831887925,0.209922664,0.991994663,0.132636573,0.559706471,0.1558224,0.551701134,0.117179354,0.575717145,0.182872532,0.567711808
0.144229486,0.575717145,0.1558224,0.631754503,0.090129222,0.639759839,0.016707435,0.703802535,0.06307909,0.76784523,0.221515578,0.623749166,0.302665975,0.703802535,0.24856571,0.783855904,0.132636573,0.791861241,0.070807699,0.823882588,0.093993527,0.991994663,0.209922664,0.791861241,0.221515578,0.839893262,0.209922664,0.991994663,0.132636573,0.559706471,0.1558224,0.559706471,0.11331505,0.575717145,0.182872532,0.567711808
